[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
P1.CurrentHealth               | Val: 100                  | AccumHash: 12292702445292466144
P1.HitstopCounter              | Val: 0                    | AccumHash: 2070684786219538848
--- P2 ---
P2.Position.X                  | Val: 191107               | AccumHash: 4437863474357462137
P2.Position.Y                  | Val: 0                    | AccumHash: 7533908590910192027
P2.Position.Z                  | Val: 7060                 | AccumHash: 2314232258026725245
P2.Velocity.X                  | Val: 0                    | AccumHash: 109349890532163943
P2.Velocity.Y                  | Val: 0                    | AccumHash: 18005969152105751045
P2.Velocity.Z                  | Val: 0                    | AccumHash: 9421258505988886143
P2.DepthAxis.X                 | Val: 18446744073709542027 | AccumHash: 4393593021648738972
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 11349929886401902356
P2.DepthAxis.Z                 | Val: 65058                | AccumHash: 4141190998206113474
P2.CurrentDirection.X          | Val: 67123                | AccumHash: 14381009862121961859
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 5407713688842058137
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 17885764101476540155
P2.LookDirection.X             | Val: 18446744073709486558 | AccumHash: 5254202084377209823
P2.LookDirection.Y             | Val: 0                    | AccumHash: 5940181538270677997
P2.LookDirection.Z             | Val: 18446744073709542027 | AccumHash: 17791461605995827282
P2.IsGrounded                  | Val: 1                    | AccumHash: 17148256400182672649
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 10825146255488448075
P2.CachedCurrentState          | Val: 1                    | AccumHash: 5736724896011878334
P2.StateFrameCounter           | Val: 24                   | AccumHash: 3831715368629430034
P2.CurrentActionID             | Val: 0                    | AccumHash: 16958495178195575702
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 7877478386247202786
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 15566369070900131078
P2.HurtInfo.StunFrames         | Val: 5                    | AccumHash: 13031664902558520345
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 4260364684728280699
P2.IsFromRoll                  | Val: 0                    | AccumHash: 5784815607412974337
P2.SideStepDirection           | Val: 0                    | AccumHash: 7377231946199087795
P2.CurrentStunFrames           | Val: 81                   | AccumHash: 15231672497762471430
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 7435586577813722162
P2.CurrentHealth               | Val: 75                   | AccumHash: 10899382610156718491
P2.HitstopCounter              | Val: 0                    | AccumHash: 8923708270385975905
[Final Hash]: 8923708270385975905
==================================================

[2026-05-09 18:41:15.509] [Hash Trace] Tick: 1200
Tick                           | Val: 1200                 | AccumHash: 12639402160904815151
SharedDepthAxis.X              | Val: 18446744073709532765 | AccumHash: 16784767343831113142
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 8090791301608520770
SharedDepthAxis.Z              | Val: 62786                | AccumHash: 18272298367122639616
CurrentTimerFrames             | Val: 4380                 | AccumHash: 3350791415116782996
IsTimerPaused                  | Val: 0                    | AccumHash: 8866648546795487868
CurrentPhase                   | Val: 1                    | AccumHash: 1226990072439224935
PhaseDelayTicks                | Val: 0                    | AccumHash: 11159419549337369861
SimulationScale                | Val: 65536                | AccumHash: 17606766028009058175
--- P1 ---
P1.Position.X                  | Val: 164175               | AccumHash: 1792021166105099152
P1.Position.Y                  | Val: 0                    | AccumHash: 17230670883269342640
P1.Position.Z                  | Val: 18446744073709550134 | AccumHash: 13676323538458632370
P1.Velocity.X                  | Val: 0                    | AccumHash: 11934409394209869430
P1.Velocity.Y                  | Val: 0                    | AccumHash: 7270539416104391298
P1.Velocity.Z                  | Val: 0                    | AccumHash: 15268191110338818790
P1.DepthAxis.X                 | Val: 18446744073709532765 | AccumHash: 7957091519252793793
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 17993367659075506931
P1.DepthAxis.Z                 | Val: 62786                | AccumHash: 9327510683046523331
P1.CurrentDirection.X          | Val: 64860                | AccumHash: 11202607237047366189
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 11098142430294557303
P1.CurrentDirection.Z          | Val: 17653                | AccumHash: 1960687447444786918
P1.LookDirection.X             | Val: 62786                | AccumHash: 13823158808851716012
P1.LookDirection.Y             | Val: 0                    | AccumHash: 7152339423705250116
P1.LookDirection.Z             | Val: 18851                | AccumHash: 11742020954897438853
P1.IsGrounded                  | Val: 1                    | AccumHash: 13800506193612761164
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 5571740232099936548
P1.CachedCurrentState          | Val: 128                  | AccumHash: 8460759596764393900
P1.StateFrameCounter           | Val: 22                   | AccumHash: 11722092926979489550
P1.CurrentActionID             | Val: 1342046326           | AccumHash: 12798898202202527976
P1.IsCommandActionTriggered    | Val: 1                    | AccumHash: 8914853465441604587
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 9807129529859528785
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 14511983327425401251
