[2026-05-13 17:34:24.308] [Hash Trace] Tick: 240
P1.IsGrounded                  | Val: 1                    | AccumHash: 3009426638818990602
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 6829034581809561342
P1.CachedCurrentState          | Val: 1                    | AccumHash: 12089064503425649485
P1.StateFrameCounter           | Val: 421                  | AccumHash: 10088993502460856376
P1.CurrentActionID             | Val: 0                    | AccumHash: 5829343984480139048
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 17763563494671923448
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 16715363025425321320
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 6394101875555239864
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 16802778048324705704
P1.IsFromRoll                  | Val: 0                    | AccumHash: 6611988333756310648
P1.SideStepDirection           | Val: 0                    | AccumHash: 9071537853908957160
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 12402557739270176568
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 17346067238582496296
P1.CurrentHealth               | Val: 100                  | AccumHash: 14668449153320437028
P1.HitstopCounter              | Val: 0                    | AccumHash: 8237399117968866348
--- P2 ---
P2.Position.X                  | Val: 18446744073709512027 | AccumHash: 1820027568861365557
P2.Position.Y                  | Val: 0                    | AccumHash: 5871351924561254671
P2.Position.Z                  | Val: 0                    | AccumHash: 4323204316176913533
P2.Velocity.X                  | Val: 0                    | AccumHash: 1986110312625852519
P2.Velocity.Y                  | Val: 0                    | AccumHash: 11791481350525624069
P2.Velocity.Z                  | Val: 0                    | AccumHash: 14438921106243958143
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 946274637349742285
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 9360855580894408279
P2.DepthAxis.Z                 | Val: 65601                | AccumHash: 12584560803534327650
P2.CurrentDirection.X          | Val: 18446744073709484340 | AccumHash: 5062852907417162786
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 789025367092622790
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 17234600736263413618
P2.LookDirection.X             | Val: 18446744073709485981 | AccumHash: 16853640005403325981
P2.LookDirection.Y             | Val: 0                    | AccumHash: 14944794446994436935
P2.LookDirection.Z             | Val: 0                    | AccumHash: 13889013677689069989
P2.IsGrounded                  | Val: 1                    | AccumHash: 13302029583285316012
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 2565712075305422660
P2.CachedCurrentState          | Val: 128                  | AccumHash: 241317912455563788
P2.StateFrameCounter           | Val: 3                    | AccumHash: 10022228617132234621
P2.CurrentActionID             | Val: 673660933            | AccumHash: 2533487121006944488
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 7179032916167731768
P2.HurtInfo.Damage             | Val: 0                    | AccumHash: 5643655176854846760
P2.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 5769594536732257016
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 289933743049556840
P2.IsFromRoll                  | Val: 0                    | AccumHash: 13009728759659268536
P2.SideStepDirection           | Val: 0                    | AccumHash: 8514250379421942696
P2.CurrentStunFrames           | Val: 0                    | AccumHash: 17665778775263032952
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 14242328680204111336
P2.CurrentHealth               | Val: 100                  | AccumHash: 14352401218674132196
P2.HitstopCounter              | Val: 0                    | AccumHash: 7467747466540863340
[Final Hash]: 7467747466540863340
==================================================

[2026-05-13 17:34:28.320] [Hash Trace] Tick: 480
Tick                           | Val: 480                  | AccumHash: 12638047562578859199
SharedDepthAxis.X              | Val: 0                    | AccumHash: 498852856650416269
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 11078558312182034327
SharedDepthAxis.Z              | Val: 65601                | AccumHash: 5630962293907179682
CurrentTimerFrames             | Val: 5100                 | AccumHash: 13695417773315892618
IsTimerPaused                  | Val: 0                    | AccumHash: 407912192596855166
CurrentPhase                   | Val: 1                    | AccumHash: 16701998792291377869
PhaseDelayTicks                | Val: 0                    | AccumHash: 7143923544926610007
SimulationScale                | Val: 65536                | AccumHash: 6779978014180252117
--- P1 ---
P1.Position.X                  | Val: 18446744073709420544 | AccumHash: 17327981443426673903
P1.Position.Y                  | Val: 0                    | AccumHash: 11536842489113084445
P1.Position.Z                  | Val: 0                    | AccumHash: 5047914817108285255
P1.Velocity.X                  | Val: 0                    | AccumHash: 3821458001107226021
P1.Velocity.Y                  | Val: 0                    | AccumHash: 3428141134582198111
P1.Velocity.Z                  | Val: 0                    | AccumHash: 9534421118854069869
P1.DepthAxis.X                 | Val: 0                    | AccumHash: 2107444987397133111
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 3323901592165934709
P1.DepthAxis.Z                 | Val: 65601                | AccumHash: 14465825853924780636
P1.CurrentDirection.X          | Val: 0                    | AccumHash: 17942938332644440660
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 2420007812421606588
P1.CurrentDirection.Z          | Val: 65536                | AccumHash: 2273894924500308852
P1.LookDirection.X             | Val: 65601                | AccumHash: 411421864851415823
P1.LookDirection.Y             | Val: 0                    | AccumHash: 18434059810721731197
P1.LookDirection.Z             | Val: 0                    | AccumHash: 1369049819454499431
P1.IsGrounded                  | Val: 1                    | AccumHash: 12584655396568648530
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 17352644204248366166
P1.CachedCurrentState          | Val: 1                    | AccumHash: 3032354112096094165
P1.StateFrameCounter           | Val: 481                  | AccumHash: 3502276037305879132
P1.CurrentActionID             | Val: 0                    | AccumHash: 10481675720011930196
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 5910736882233375932
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 12980921045280125812
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 7794072830436716060
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 9204117239495285140
P1.IsFromRoll                  | Val: 0                    | AccumHash: 3899168135717467772
P1.SideStepDirection           | Val: 0                    | AccumHash: 16779188377334224052
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 851560999616425436
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 14657572537385970900
P1.CurrentHealth               | Val: 100                  | AccumHash: 1067244444906139408
P1.HitstopCounter              | Val: 0                    | AccumHash: 5654023195869739056
--- P2 ---
P2.Position.X                  | Val: 18446744073709512027 | AccumHash: 626508267618106577
P2.Position.Y                  | Val: 0                    | AccumHash: 18383066140127893283
P2.Position.Z                  | Val: 0                    | AccumHash: 6137651700157108345
P2.Velocity.X                  | Val: 0                    | AccumHash: 12381043691584699803
P2.Velocity.Y                  | Val: 0                    | AccumHash: 8473391156853845601
P2.Velocity.Z                  | Val: 0                    | AccumHash: 444474272098242259
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 12864222342862794889
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 6208623874597632203
P2.DepthAxis.Z                 | Val: 65601                | AccumHash: 15000626002629923454
P2.CurrentDirection.X          | Val: 18446744073709484340 | AccumHash: 293604117076922046
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 16338914501217209562
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 15216775435212887662
P2.LookDirection.X             | Val: 18446744073709485981 | AccumHash: 7689287419440039913
P2.LookDirection.Y             | Val: 0                    | AccumHash: 17114474904894632171
P2.LookDirection.Z             | Val: 0                    | AccumHash: 3044314147762560849
P2.IsGrounded                  | Val: 1                    | AccumHash: 16097862601850025200
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 17087779168983200720
P2.CachedCurrentState          | Val: 128                  | AccumHash: 9536813528947044592
